"Predictor"
"semiolmotor"
"ageonset"
"numaeds"
"neonatalszs"
"fs"
"gt9szs"
"semiolgtc"
"benign"
"dd"
"abnormalexam"
"abnormalimaging"
"eegabnormal"
"ageonsetcat"
"eegepileptiform"
"etiolunknown"
"yearsszs"
"yearsszfree"
"dc"
"numszstc_cat"
"ddd"
"semioltc"
"etiolstructural"
"yearsszfreecat"
"abnormalmri"
"etiolencephalomalac"
